Image_Name,Image_height,Image_width,ROI_ratio
CHNCXR_0114_0,2933,3000,0.21049596545061938
CHNCXR_0115_0,1149,1225,0.17783414148949397
CHNCXR_0116_0,2931,3000,0.26029284658250884
CHNCXR_0117_0,2959,2521,0.21024529471198272
CHNCXR_0118_0,2996,2990,0.1462497376658287
CHNCXR_0119_0,2869,2682,0.20493360458645465
CHNCXR_0120_0,2945,3000,0.23393480475382003
CHNCXR_0121_0,2990,2751,0.2651054222909517
CHNCXR_0122_0,2843,2536,0.23317551216058924
CHNCXR_0123_0,2945,3000,0.14935846066779854
CHNCXR_0124_0,2889,2365,0.25312166803147024
CHNCXR_0125_0,2993,2991,0.2321002432623631
CHNCXR_0126_0,2933,2997,0.12642509539884242
CHNCXR_0127_0,2382,2478,0.28425797733742914
CHNCXR_0128_0,2992,2991,0.2248214116502806
CHNCXR_0129_0,2947,2452,0.17971659181704402
CHNCXR_0130_0,2994,2991,0.22809812202137475
CHNCXR_0131_0,2994,2600,0.2580983762396588
CHNCXR_0132_0,2943,2997,0.18933748563378194
CHNCXR_0133_0,2953,3000,0.2059628626255785
CHNCXR_0134_0,2957,2493,0.30768234248320053
CHNCXR_0135_0,2949,3000,0.2125314795976037
CHNCXR_0136_0,2937,2997,0.14442180234939286
CHNCXR_0137_0,2939,3000,0.2054257684019508
CHNCXR_0138_0,2943,3000,0.18923921168875296
CHNCXR_0139_0,2931,3000,0.16611736608665983
CHNCXR_0140_0,2066,2227,0.3265263806726477
CHNCXR_0141_0,2927,3000,0.21404646395626922
CHNCXR_0142_0,2388,2407,0.2693823291780882
CHNCXR_0143_0,2854,2791,0.17815108981040018
CHNCXR_0144_0,2768,2271,0.2814257043445504
CHNCXR_0145_0,2990,2990,0.24814901399313208
CHNCXR_0146_0,2975,2985,0.1770684233492392
CHNCXR_0147_0,2951,3000,0.25561786964870664
CHNCXR_0148_0,2930,2692,0.22137251570827987
CHNCXR_0149_0,2995,2993,0.19964100988003727
CHNCXR_0150_0,2941,2730,0.2367600664098454
CHNCXR_0151_0,2931,2985,0.17060475812475318
CHNCXR_0152_0,2638,2512,0.2632341259301826
CHNCXR_0153_0,2939,3000,0.20507973233526142
CHNCXR_0154_0,2943,3000,0.2206786725563484
CHNCXR_0155_0,1737,2253,0.1361832914650229
CHNCXR_0156_0,2957,2997,0.15484055806454633
CHNCXR_0157_0,2953,2985,0.19257139064778686
CHNCXR_0158_0,2904,2655,0.18901288177097114
CHNCXR_0159_0,2989,2991,0.18201688817987363
CHNCXR_0160_0,2786,2529,0.2752470480970633
CHNCXR_0161_0,2880,2697,0.19698288736456146
CHNCXR_0162_0,2945,3000,0.2428370118845501
CHNCXR_0163_0,2951,2989,0.18988646838929005
CHNCXR_0164_0,2939,3000,0.16711330384484518
CHNCXR_0165_0,2993,2967,0.2455205275628528
CHNCXR_0166_0,2527,2443,0.29698203325492784
CHNCXR_0167_0,2961,2761,0.25464382377156813
CHNCXR_0168_0,2931,3000,0.35307130672125553
CHNCXR_0169_0,1761,1671,0.20377546488159745
CHNCXR_0170_0,2953,3000,0.15836516536855175
CHNCXR_0171_0,2991,2991,0.23434216613956435
CHNCXR_0172_0,2556,2434,0.32223405253946763
CHNCXR_0173_0,2903,2566,0.25978165410093945
CHNCXR_0174_0,2970,2585,0.2434519273977688
CHNCXR_0175_0,2009,2205,0.21836001033896218
CHNCXR_0176_0,2929,2987,0.1595980442392738
CHNCXR_0177_0,2530,2504,0.3395613658462665
CHNCXR_0178_0,1341,1521,0.21640066658135837
CHNCXR_0179_0,2941,3000,0.17380482828969737
CHNCXR_0180_0,2457,2997,0.17997009355034047
